tierDescription|issueSymbolIdentifier|issueName|marketParticipantName|MPID|totalWeeklyShareQuantity|totalWeeklyTradeCount|lastUpdateDate
NMS Tier 1|A|Agilent Technologies Inc.|BIDS BIDS ATS|BIDS|74079|86|2019-06-17
NMS Tier 1|A|Agilent Technologies Inc.|BLKX INSTINET BLOCKCROSS|BLKX|24100|3|2019-06-17
NMS Tier 1|A|Agilent Technologies Inc.|CODA CODA|CODA|7641|67|2019-06-17
NMS Tier 1|A|Agilent Technologies Inc.|CROS CROSSFINDER|CROS|215366|1651|2019-06-17
NMS Tier 1|A|Agilent Technologies Inc.|DBAX SUPERX ATS|DBAX|137100|636|2019-06-17
NMS Tier 1|A|Agilent Technologies Inc.|EBXL LEVEL ATS|EBXL|105700|405|2019-06-17
NMS Tier 1|A|Agilent Technologies Inc.|IATS IBKR ATS|IATS|6975|43|2019-06-17
NMS Tier 1|A|Agilent Technologies Inc.|ICBX CBX|ICBX|10120|94|2019-06-17
NMS Tier 1|A|Agilent Technologies Inc.|INCR INTELLIGENT CROSS LLC|INCR|5052|47|2019-06-17
NMS Tier 1|A|Agilent Technologies Inc.|ITGP POSIT|ITGP|30200|195|2019-06-17
NMS Tier 1|A|Agilent Technologies Inc.|JPBX JPB-X|JPBX|40209|376|2019-06-17
NMS Tier 1|A|Agilent Technologies Inc.|JPMX JPM-X|JPMX|252423|1220|2019-06-17
NMS Tier 1|A|Agilent Technologies Inc.|KCGM VIRTU MATCHIT ATS|KCGM|29686|229|2019-06-17
NMS Tier 1|A|Agilent Technologies Inc.|LATS THE BARCLAYS ATS|LATS|73200|398|2019-06-17
NMS Tier 1|A|Agilent Technologies Inc.|LQNA LIQUIDNET H2O ATS|LQNA|26000|4|2019-06-17
NMS Tier 1|A|Agilent Technologies Inc.|MLIX INSTINCT X|MLIX|46715|124|2019-06-17
NMS Tier 1|A|Agilent Technologies Inc.|MSPL MS POOL (ATS-4)|MSPL|108000|663|2019-06-17
NMS Tier 1|A|Agilent Technologies Inc.|MSRP MS RPOOL (ATS-6)|MSRP|73900|554|2019-06-17
NMS Tier 1|A|Agilent Technologies Inc.|MSTX MS TRAJECTORY CROSS (ATS-1)|MSTX|123300|573|2019-06-17
NMS Tier 1|A|Agilent Technologies Inc.|SGMT SIGMA X2|SGMT|144397|926|2019-06-17
NMS Tier 1|A|Agilent Technologies Inc.|UBSA UBS ATS|UBSA|469413|3090|2019-06-17
NMS Tier 1|A|Agilent Technologies Inc.|XIST INSTINET CROSSING|XIST|23800|2|2019-06-17
NMS Tier 1|A|Agilent Technologies Inc.|XSTM CROSSSTREAM|XSTM|15461|60|2019-06-17
NMS Tier 1|AA|Alcoa Corporation|BIDS BIDS ATS|BIDS|5800|28|2019-06-17
NMS Tier 1|AA|Alcoa Corporation|CODA CODA|CODA|4231|28|2019-06-17
NMS Tier 1|AA|Alcoa Corporation|CROS CROSSFINDER|CROS|132206|864|2019-06-17
NMS Tier 1|AA|Alcoa Corporation|DBAX SUPERX ATS|DBAX|55600|384|2019-06-17
NMS Tier 1|AA|Alcoa Corporation|EBXL LEVEL ATS|EBXL|74602|511|2019-06-17
NMS Tier 1|AA|Alcoa Corporation|IATS IBKR ATS|IATS|35785|129|2019-06-17
NMS Tier 1|AA|Alcoa Corporation|ICBX CBX|ICBX|8600|82|2019-06-17
NMS Tier 1|AA|Alcoa Corporation|INCR INTELLIGENT CROSS LLC|INCR|21923|164|2019-06-17
NMS Tier 1|AA|Alcoa Corporation|ITGP POSIT|ITGP|19300|100|2019-06-17
NMS Tier 1|AA|Alcoa Corporation|JPBX JPB-X|JPBX|52072|773|2019-06-17
NMS Tier 1|AA|Alcoa Corporation|JPMX JPM-X|JPMX|58381|485|2019-06-17
NMS Tier 1|AA|Alcoa Corporation|KCGM VIRTU MATCHIT ATS|KCGM|48198|370|2019-06-17
NMS Tier 1|AA|Alcoa Corporation|LATS THE BARCLAYS ATS|LATS|73000|565|2019-06-17
NMS Tier 1|AA|Alcoa Corporation|LQNA LIQUIDNET H2O ATS|LQNA|6900|1|2019-06-17
NMS Tier 1|AA|Alcoa Corporation|MLIX INSTINCT X|MLIX|29902|208|2019-06-17
NMS Tier 1|AA|Alcoa Corporation|MSPL MS POOL (ATS-4)|MSPL|96600|510|2019-06-17
NMS Tier 1|AA|Alcoa Corporation|MSRP MS RPOOL (ATS-6)|MSRP|38900|341|2019-06-17
NMS Tier 1|AA|Alcoa Corporation|MSTX MS TRAJECTORY CROSS (ATS-1)|MSTX|112900|471|2019-06-17
NMS Tier 1|AA|Alcoa Corporation|SGMT SIGMA X2|SGMT|75178|645|2019-06-17
NMS Tier 1|AA|Alcoa Corporation|UBSA UBS ATS|UBSA|399079|3312|2019-06-17
NMS Tier 1|AA|Alcoa Corporation|XIST INSTINET CROSSING|XIST|22|1|2019-06-17
NMS Tier 1|AA|Alcoa Corporation|XSTM CROSSSTREAM|XSTM|16802|51|2019-06-17
NMS Tier 1|AAL|American Airlines Group Inc. Common Stock|BIDS BIDS ATS|BIDS|44900|102|2019-06-17
NMS Tier 1|AAL|American Airlines Group Inc. Common Stock|BLKX INSTINET BLOCKCROSS|BLKX|5700|1|2019-06-17
NMS Tier 1|AAL|American Airlines Group Inc. Common Stock|CODA CODA|CODA|6367|54|2019-06-17
NMS Tier 1|AAL|American Airlines Group Inc. Common Stock|CROS CROSSFINDER|CROS|395708|2680|2019-06-17
NMS Tier 1|AAL|American Airlines Group Inc. Common Stock|DBAX SUPERX ATS|DBAX|259200|1114|2019-06-17
NMS Tier 1|AAL|American Airlines Group Inc. Common Stock|EBXL LEVEL ATS|EBXL|146662|960|2019-06-17
NMS Tier 1|AAL|American Airlines Group Inc. Common Stock|IATS IBKR ATS|IATS|98478|349|2019-06-17
NMS Tier 1|AAL|American Airlines Group Inc. Common Stock|ICBX CBX|ICBX|25200|165|2019-06-17
NMS Tier 1|AAL|American Airlines Group Inc. Common Stock|INCR INTELLIGENT CROSS LLC|INCR|40060|232|2019-06-17
NMS Tier 1|AAL|American Airlines Group Inc. Common Stock|ITGP POSIT|ITGP|93800|402|2019-06-17
NMS Tier 1|AAL|American Airlines Group Inc. Common Stock|JPBX JPB-X|JPBX|53295|820|2019-06-17
NMS Tier 1|AAL|American Airlines Group Inc. Common Stock|JPMX JPM-X|JPMX|171139|1088|2019-06-17
NMS Tier 1|AAL|American Airlines Group Inc. Common Stock|KCGM VIRTU MATCHIT ATS|KCGM|49312|243|2019-06-17
NMS Tier 1|AAL|American Airlines Group Inc. Common Stock|LATS THE BARCLAYS ATS|LATS|136900|863|2019-06-17
NMS Tier 1|AAL|American Airlines Group Inc. Common Stock|MLIX INSTINCT X|MLIX|67655|332|2019-06-17
NMS Tier 1|AAL|American Airlines Group Inc. Common Stock|MSPL MS POOL (ATS-4)|MSPL|156100|748|2019-06-17
NMS Tier 1|AAL|American Airlines Group Inc. Common Stock|MSRP MS RPOOL (ATS-6)|MSRP|165300|931|2019-06-17
NMS Tier 1|AAL|American Airlines Group Inc. Common Stock|MSTX MS TRAJECTORY CROSS (ATS-1)|MSTX|191200|798|2019-06-17
NMS Tier 1|AAL|American Airlines Group Inc. Common Stock|SGMT SIGMA X2|SGMT|183947|1243|2019-06-17
NMS Tier 1|AAL|American Airlines Group Inc. Common Stock|UBSA UBS ATS|UBSA|629713|4658|2019-06-17
NMS Tier 1|AAL|American Airlines Group Inc. Common Stock|WDNX XE|WDNX|316|1|2019-06-17
NMS Tier 1|AAL|American Airlines Group Inc. Common Stock|XIST INSTINET CROSSING|XIST|3600|3|2019-06-17
NMS Tier 1|AAL|American Airlines Group Inc. Common Stock|XSTM CROSSSTREAM|XSTM|131341|389|2019-06-17
NMS Tier 1|AAP|ADVANCE AUTO PARTS INC|BIDS BIDS ATS|BIDS|25900|84|2019-06-17
NMS Tier 1|AAP|ADVANCE AUTO PARTS INC|CODA CODA|CODA|1754|11|2019-06-17
NMS Tier 1|AAP|ADVANCE AUTO PARTS INC|CROS CROSSFINDER|CROS|137166|1383|2019-06-17
NMS Tier 1|AAP|ADVANCE AUTO PARTS INC|DBAX SUPERX ATS|DBAX|75900|637|2019-06-17
NMS Tier 1|AAP|ADVANCE AUTO PARTS INC|EBXL LEVEL ATS|EBXL|29000|254|2019-06-17
NMS Tier 1|AAP|ADVANCE AUTO PARTS INC|IATS IBKR ATS|IATS|8151|69|2019-06-17
NMS Tier 1|AAP|ADVANCE AUTO PARTS INC|ICBX CBX|ICBX|7400|67|2019-06-17
NMS Tier 1|AAP|ADVANCE AUTO PARTS INC|INCR INTELLIGENT CROSS LLC|INCR|1200|15|2019-06-17
