tierDescription|issueSymbolIdentifier|issueName|marketParticipantName|MPID|totalWeeklyShareQuantity|totalWeeklyTradeCount|lastUpdateDate
OTC|AACAY|AAC Technologies Holdings Inc Unsponsored ADR (Cayman Islands)|ARCA GLOBAL OTC|ARCA|16124|76|2019-06-24
OTC|AAGH|America Great Health Common Stock|OTCX OTC LINK ECN ATS|OTCX|17350|1|2019-06-24
OTC|AAGIY|AIA Group, Ltd. Sponsored American Depository Receipt (Hong Kong)|ARCA GLOBAL OTC|ARCA|89509|297|2019-06-24
OTC|AAGIY|AIA Group, Ltd. Sponsored American Depository Receipt (Hong Kong)|OTCX OTC LINK ECN ATS|OTCX|6246|8|2019-06-24
OTC|AAPT|All American Pet Company, Inc. Common Stock|ARCA GLOBAL OTC|ARCA|500000|1|2019-06-24
OTC|AASP|All-American SportPark, Inc. Common Stock|ARCA GLOBAL OTC|ARCA|1000|1|2019-06-24
OTC|AASP|All-American SportPark, Inc. Common Stock|OTCX OTC LINK ECN ATS|OTCX|340|1|2019-06-24
OTC|AAVVF|Advantage Oil & Gas Ltd Ordinary Shares (Canada)|OTCX OTC LINK ECN ATS|OTCX|1000|1|2019-06-24
OTC|AAWC|Alexandria Advantage Warranty Company Common Stock|ARCA GLOBAL OTC|ARCA|15036|2|2019-06-24
OTC|AAWC|Alexandria Advantage Warranty Company Common Stock|OTCX OTC LINK ECN ATS|OTCX|30555|1|2019-06-24
OTC|ABCE|ABCO Energy, Inc Common Stock|ARCA GLOBAL OTC|ARCA|75000|3|2019-06-24
OTC|ABCE|ABCO Energy, Inc Common Stock|OTCX OTC LINK ECN ATS|OTCX|314000|8|2019-06-24
OTC|ABCP|AmBase Corporation Common Stock|OTCX OTC LINK ECN ATS|OTCX|7600|2|2019-06-24
OTC|ABMC|American Bio Medica Corp. Common Stock|ARCA GLOBAL OTC|ARCA|25000|2|2019-06-24
OTC|ABML|American Battery Metals Corporation Common Stock|ARCA GLOBAL OTC|ARCA|33342|9|2019-06-24
OTC|ABNAF|Aben Resources, Ltd. Ordinary Shares|ARCA GLOBAL OTC|ARCA|61000|3|2019-06-24
OTC|ABNAF|Aben Resources, Ltd. Ordinary Shares|OTCX OTC LINK ECN ATS|OTCX|65500|6|2019-06-24
OTC|ABNRY|Abn Amro Group NV American Depositary Shares - Unsponsored (Netherlands)|ARCA GLOBAL OTC|ARCA|24007|66|2019-06-24
OTC|ABVCD|American BriVision (Holding) Corporation Common Stock|OTCX OTC LINK ECN ATS|OTCX|400|4|2019-06-24
OTC|ACAN|Americann, Inc. Common Stock|ARCA GLOBAL OTC|ARCA|5497|20|2019-06-24
OTC|ACAN|Americann, Inc. Common Stock|OTCX OTC LINK ECN ATS|OTCX|1000|2|2019-06-24
OTC|ACBM|Acro Biomedical Co., Ltd. Common Stock|OTCX OTC LINK ECN ATS|OTCX|4074|18|2019-06-24
OTC|ACCA|Acacia Diversified Holdings, Inc. Common Stock|ARCA GLOBAL OTC|ARCA|5000|1|2019-06-24
OTC|ACCA|Acacia Diversified Holdings, Inc. Common Stock|OTCX OTC LINK ECN ATS|OTCX|60550|6|2019-06-24
OTC|ACCYY|Accor S A American Depositary Receipts - Sponsored (France)|ARCA GLOBAL OTC|ARCA|4121|12|2019-06-24
OTC|ACDVF|Air Canada Inc Vtg & Var Vtg Shares (Canada)|OTCX OTC LINK ECN ATS|OTCX|1400|8|2019-06-24
OTC|ACETQ|Aceto Corporation Common Stock|OTCX OTC LINK ECN ATS|OTCX|388728|97|2019-06-24
OTC|ACFN|Acorn Energy, Inc.|ARCA GLOBAL OTC|ARCA|14427|9|2019-06-24
OTC|ACFN|Acorn Energy, Inc.|OTCX OTC LINK ECN ATS|OTCX|5935|4|2019-06-24
