MPID|marketParticipantName|summaryTypeDescription|summaryStartDate|totalTradeCount|totalShareQuantity|averageTradeSize|averageTradeSizeRank|ATSTradePercent|ATSSharePercent|ATSTradeRank|ATSShareRank|ATSBlockCount|ATSBlockQuantity|averageBlockSize|averageBlockSizeRank|ATSBlockTradePercent|ATSBlockSharePercent|ATSBlockTradeRank|ATSBlockShareRank|ATSBlockBusinessTradePercent|ATSBlockBusinessSharePercent|ATSBlockBusinessTradeRank|ATSBlockBusinessShareRank|lastUpdateDate
AQUA|AQUA SECURITIES L.P.|$100K to <$200K|2019-04-01|645|4563220|7075|7|0.00|0.03|32|31|141|711600|5047|6|0.04|0.10|29|28|21.86|15.59|1|2|2019-06-03
BIDS|BIDS TRADING|$100K to <$200K|2019-04-01|833543|834694410|1001|10|0.95|4.86|18|9|18199|73721399|4051|7|4.58|10.83|8|2|2.18|8.83|10|6|2019-06-03
BLKX|INSTINET BLOCKCROSS|$100K to <$200K|2019-04-01|20847|244318087|11720|6|0.02|1.42|24|19|3461|29158578|8425|5|0.87|4.28|20|8|16.60|11.93|3|5|2019-06-03
CBLC|CITIBLOC|$100K to <$200K|2019-04-01|2524|38776818|15363|5|0.00|0.23|29|29|317|2854267|9004|4|0.08|0.42|27|25|12.56|7.36|5|8|2019-06-03
CODA|CODA MARKETS, INC.|$100K to <$200K|2019-04-01|621062|122610098|197|19|0.70|0.71|20|26|5400|8181961|1515|18|1.36|1.20|18|21|0.87|6.67|13|9|2019-06-03
CROS|CROSSFINDER|$100K to <$200K|2019-04-01|9568708|1593857856|167|29|10.85|9.29|2|2|36739|51029587|1389|24|9.25|7.49|3|4|0.38|3.20|24|22|2019-06-03
CXCX|CITI CROSS|$100K to <$200K|2019-04-01|847649|161227385|190|22|0.96|0.94|17|23|3478|5967657|1716|13|0.88|0.88|19|22|0.41|3.70|22|20|2019-06-03
DBAX|SUPERX|$100K to <$200K|2019-04-01|5210857|962964913|185|25|5.91|5.61|7|6|28961|41171580|1422|22|7.29|6.05|5|7|0.56|4.28|17|13|2019-06-03
DLTA|DEALERWEB|$100K to <$200K|2019-04-01|669|178931727|267461|1|0.00|1.04|31|22|0|0|0|31|0.00|0.00|31|31|0.00|0.00|31|31|2019-06-03
EBXL|LEVEL ATS|$100K to <$200K|2019-04-01|5666937|1100933776|194|21|6.43|6.42|5|5|33074|46747665|1413|23|8.32|6.87|4|6|0.58|4.25|14|14|2019-06-03
IATS|INTERACTIVE BROKERS LLC|$100K to <$200K|2019-04-01|1586316|382779561|241|16|1.80|2.23|14|13|15604|13879058|889|29|3.93|2.04|10|16|0.98|3.63|12|21|2019-06-03
ICBX|INSTINET CONTINUOUS BLOCK CROSSING SYSTEM (CBX)|$100K to <$200K|2019-04-01|1375563|255338490|186|23|1.56|1.49|16|18|6790|9893796|1457|20|1.71|1.45|17|19|0.49|3.87|19|19|2019-06-03
INCR|INTELLIGENT CROSS LLC|$100K to <$200K|2019-04-01|832341|144248341|173|27|0.94|0.84|19|24|1002|2211557|2207|10|0.25|0.32|24|26|0.12|1.53|30|29|2019-06-03
ITGP|POSIT|$100K to <$200K|2019-04-01|1480277|478006500|323|15|1.68|2.79|15|11|8623|25660600|2976|9|2.17|3.77|14|11|0.58|5.37|15|11|2019-06-03
JPBX|JPB-X|$100K to <$200K|2019-04-01|3107043|315972235|102|33|3.52|1.84|9|15|7497|12845896|1713|14|1.89|1.89|16|17|0.24|4.07|28|18|2019-06-03
JPMX|JPM-X|$100K to <$200K|2019-04-01|7350917|1268434218|173|27|8.34|7.39|3|3|39417|60888169|1545|17|9.92|8.94|2|3|0.54|4.80|18|12|2019-06-03
KCGM|VIRTU MATCHIT|$100K to <$200K|2019-04-01|1712289|334016111|195|20|1.94|1.95|13|14|8345|14112778|1691|16|2.10|2.07|15|15|0.49|4.23|20|15|2019-06-03
LATS|THE BARCLAYS ATS|$100K to <$200K|2019-04-01|5125113|955514690|186|23|5.81|5.57|8|7|20073|28809910|1435|21|5.05|4.23|7|9|0.39|3.02|23|23|2019-06-03
