MPID|marketParticipantName|summaryTypeDescription|summaryStartDate|totalTradeCount|totalShareQuantity|averageTradeSize|averageTradeSizeRank|ATSTradePercent|ATSSharePercent|ATSTradeRank|ATSShareRank|ATSBlockCount|ATSBlockQuantity|averageBlockSize|averageBlockSizeRank|ATSBlockTradePercent|ATSBlockSharePercent|ATSBlockTradeRank|ATSBlockShareRank|ATSBlockBusinessTradePercent|ATSBlockBusinessSharePercent|ATSBlockBusinessTradeRank|ATSBlockBusinessShareRank|lastUpdateDate
AQUA|AQUA SECURITIES L.P.|$200K+|2019-04-01|645|4563220|7075|7|0.00|0.03|32|31|322|3030100|9410|11|0.15|0.14|28|28|49.92|66.40|7|7|2019-06-03
BIDS|BIDS TRADING|$200K+|2019-04-01|833543|834694410|1001|10|0.95|4.86|18|9|34625|542843840|15678|7|16.61|24.36|1|1|4.15|65.04|11|8|2019-06-03
BLKX|INSTINET BLOCKCROSS|$200K+|2019-04-01|20847|244318087|11720|6|0.02|1.42|24|19|12687|175644978|13844|8|6.09|7.88|6|4|60.86|71.89|6|6|2019-06-03
CBLC|CITIBLOC|$200K+|2019-04-01|2524|38776818|15363|5|0.00|0.23|29|29|1961|33524717|17096|5|0.94|1.50|24|15|77.69|86.46|4|4|2019-06-03
CODA|CODA MARKETS, INC.|$200K+|2019-04-01|621062|122610098|197|19|0.70|0.71|20|26|2678|9913559|3702|27|1.28|0.44|20|23|0.43|8.09|14|15|2019-06-03
CROS|CROSSFINDER|$200K+|2019-04-01|9568708|1593857856|167|29|10.85|9.29|2|2|13136|69507488|5291|18|6.30|3.12|4|10|0.14|4.36|24|20|2019-06-03
CXCX|CITI CROSS|$200K+|2019-04-01|847649|161227385|190|22|0.96|0.94|17|23|1816|12950561|7131|13|0.87|0.58|25|21|0.21|8.03|18|16|2019-06-03
DBAX|SUPERX|$200K+|2019-04-01|5210857|962964913|185|25|5.91|5.61|7|6|6340|26232760|4138|23|3.04|1.18|11|18|0.12|2.72|25|27|2019-06-03
DLTA|DEALERWEB|$200K+|2019-04-01|669|178931727|267461|1|0.00|1.04|31|22|669|178931727|267461|1|0.32|8.03|27|3|100.00|100.00|1|1|2019-06-03
EBXL|LEVEL ATS|$200K+|2019-04-01|5666937|1100933776|194|21|6.43|6.42|5|5|11553|63104645|5462|17|5.54|2.83|7|11|0.20|5.73|19|18|2019-06-03
IATS|INTERACTIVE BROKERS LLC|$200K+|2019-04-01|1586316|382779561|241|16|1.80|2.23|14|13|5384|8452755|1570|30|2.58|0.38|12|26|0.34|2.21|15|28|2019-06-03
ICBX|INSTINET CONTINUOUS BLOCK CROSSING SYSTEM (CBX)|$200K+|2019-04-01|1375563|255338490|186|23|1.56|1.49|16|18|2491|9072414|3642|28|1.20|0.41|22|25|0.18|3.55|21|24|2019-06-03
INCR|INTELLIGENT CROSS LLC|$200K+|2019-04-01|832341|144248341|173|27|0.94|0.84|19|24|158|623141|3944|24|0.08|0.03|31|30|0.02|0.43|31|31|2019-06-03
ITGP|POSIT|$200K+|2019-04-01|1480277|478006500|323|15|1.68|2.79|15|11|8603|137973500|16038|6|4.13|6.19|9|5|0.58|28.86|13|12|2019-06-03
JPBX|JPB-X|$200K+|2019-04-01|3107043|315972235|102|33|3.52|1.84|9|15|2469|9464119|3833|25|1.18|0.42|23|24|0.08|3.00|29|26|2019-06-03
JPMX|JPM-X|$200K+|2019-04-01|7350917|1268434218|173|27|8.34|7.39|3|3|17923|111131084|6200|14|8.60|4.99|3|7|0.24|8.76|16|14|2019-06-03
KCGM|VIRTU MATCHIT|$200K+|2019-04-01|1712289|334016111|195|20|1.94|1.95|13|14|3142|14292077|4549|22|1.51|0.64|17|20|0.18|4.28|20|21|2019-06-03
LATS|THE BARCLAYS ATS|$200K+|2019-04-01|5125113|955514690|186|23|5.81|5.57|8|7|7576|38584900|5093|20|3.63|1.73|10|13|0.15|4.04|23|22|2019-06-03
LMNX|LUMINEX TRADING & ANALYTICS LLC|$200K+|2019-04-01|2737|101070306|36927|2|0.00|0.59|28|27|2542|98865168|38893|2|1.22|4.44|21|9|92.88|97.82|2|2|2019-06-03
LQNA|LIQUIDNET H2O|$200K+|2019-04-01|19399|299363110|15432|4|0.02|1.74|25|16|12905|252144810|19539|4|6.19|11.31|5|2|66.52|84.23|5|5|2019-06-03
LQNT|LIQUIDNET ATS|$200K+|2019-04-01|4557|140428200|30816|3|0.01|0.82|26|25|4008|134421800|33538|3|1.92|6.03|16|6|87.95|95.72|3|3|2019-06-03
MAGM|MAGMA ATS|$200K+|2019-04-01|4|2200|550|13|0.00|0.00|33|33|0|0|0|32|0.00|0.00|32|32|0.00|0.00|32|32|2019-06-03
MLIX|INSTINCT X|$200K+|2019-04-01|2176139|512602055|236|17|2.47|2.99|11|10|5139|30154828|5868|15|2.47|1.35|14|16|0.24|5.88|17|17|2019-06-03
MSPL|MS POOL (ATS-4)|$200K+|2019-04-01|5508038|1191010463|216|18|6.25|6.94|6|4|9817|56401280|5745|16|4.71|2.53|8|12|0.18|4.74|22|19|2019-06-03
MSRP|MS RPOOL (ATS-6)|$200K+|2019-04-01|1768759|282911720|160|30|2.01|1.65|12|17|900|11153800|12393|10|0.43|0.50|26|22|0.05|3.94|30|23|2019-06-03
MSTX|MS TRAJECTORY CROSS (ATS-1)|$200K+|2019-04-01|2336075|422235566|181|26|2.65|2.46|10|12|2829|7425200|2625|29|1.36|0.33|19|27|0.12|1.76|26|30|2019-06-03
PROS|PRO SECURITIES ATS|$200K+|2019-04-01|959|590529|616|12|0.00|0.00|30|32|160|247828|1549|31|0.08|0.01|30|31|16.68|41.97|8|10|2019-06-03
SGMT|SIGMA X2|$200K+|2019-04-01|6304074|946020094|150|31|7.15|5.51|4|8|5068|19005988|3750|26|2.43|0.85|15|19|0.08|2.01|28|29|2019-06-03
UBSA|UBS ATS|$200K+|2019-04-01|23792139|3399058491|143|32|26.98|19.81|1|1|23290|108725425|4668|21|11.17|4.88|2|8|0.10|3.20|27|25|2019-06-03
USTK|USTOCKTRADE SECURITIES, INC.|$200K+|2019-04-01|300296|199298457|664|11|0.34|1.16|22|21|0|0|0|32|0.00|0.00|32|32|0.00|0.00|32|32|2019-06-03
WDNX|XE|$200K+|2019-04-01|3472|4573023|1317|9|0.00|0.03|27|30|250|1899668|7599|12|0.12|0.09|29|29|7.20|41.54|10|11|2019-06-03
XIST|INSTINET CROSSING|$200K+|2019-04-01|26535|64174049|2418|8|0.03|0.37|23|28|2852|36402919|12764|9|1.37|1.63|18|14|10.75|56.73|9|9|2019-06-03
XSTM|CROSSSTREAM|$200K+|2019-04-01|589563|219209200|372|14|0.67|1.28|21|20|5154|26382928|5119|19|2.47|1.18|13|17|0.87|12.04|12|13|2019-06-03
