tierDescription|issueSymbolIdentifier|issueName|marketParticipantName|totalWeeklyShareQuantity|totalWeeklyTradeCount|lastUpdateDate
OTCE|AABB|Asia Broadband Inc Common Stock|De Minimis Firms|548128|34|2019-06-03
OTCE|AABVF|Aberdeen International Inc Ordinary Shares|De Minimis Firms|4417|5|2019-06-03
OTCE|AACAF|AAC Technologies Holdings Inc Ordinary Shares (Cayman Islands)|De Minimis Firms|7000|1|2019-06-03
OTCE|AACAY|AAC Technologies Holdings Inc Unsponsored ADR (Cayman Islands)|De Minimis Firms|145531|322|2019-06-03
OTCE|AACS|American Commerce Solutions, Inc. Common Stock|De Minimis Firms|115123|4|2019-06-03
OTCE|AACTF|AURORA SOLAR TECHNOLOGIES INC  Common Shares|De Minimis Firms|122000|5|2019-06-03
OTCE|AAGC|All American Gold Corp. Common Stock|De Minimis Firms|13794772|21|2019-06-03
OTCE|AAGH|America Great Health Common Stock|De Minimis Firms|111064|12|2019-06-03
OTCE|AAGIY|AIA Group, Ltd. Sponsored American Depository Receipt (Hong Kong)|De Minimis Firms|746101|2932|2019-06-03
OTCE|AAIGF|AIA Group, Ltd. Ordinary Shares (Hong Kong)|De Minimis Firms|110012|62|2019-06-03
OTCE|AAMAF|Atlas Mara Co Nvest Ltd. Ordinary Shares (Virgin Islands British)|De Minimis Firms|550|2|2019-06-03
OTCE|AAMMF|Almadex Minerals Ltd Ordinary Shares (Canada)|De Minimis Firms|208888|57|2019-06-03
OTCE|AAMTF|Armada Mercantile Ltd Ordinary Shares|De Minimis Firms|10800|10|2019-06-03
OTCE|AAPH|American Petro-Hunter, Inc. Common Stock|De Minimis Firms|150135|2|2019-06-03
OTCE|AAPJ|AAP, Inc. Common Stock|De Minimis Firms|335|1|2019-06-03
OTCE|AAPT|All American Pet Company, Inc. Common Stock|De Minimis Firms|270000|3|2019-06-03
OTCE|AASP|All-American SportPark, Inc. Common Stock|De Minimis Firms|450|2|2019-06-03
OTCE|AASZF|Atlantic Sapphire AS Common Shares|De Minimis Firms|5000|1|2019-06-03
OTCE|AATDF|AA LTD Ordinary Shares (United Kingdom)|De Minimis Firms|50000|1|2019-06-03
OTCE|AATRL|AMG Capital  Trust II 5.15% Convertible Trust Preferred Securities, Expiring 10/15/2037|De Minimis Firms|16124|45|2019-06-03
OTCE|AATV|Adaptive Ad Systems, Inc. NEW Common Stock|De Minimis Firms|4650|5|2019-06-03
OTCE|AAUKF|Anglo American plc Ordinary Shares (United Kingdom)|De Minimis Firms|1368|5|2019-06-03
OTCE|AAVVF|Advantage Oil & Gas Ltd Ordinary Shares (Canada)|De Minimis Firms|120842|121|2019-06-03
OTCE|AAVXF|Abivax SA Ordinary Shares (France)|De Minimis Firms|200|2|2019-06-03
OTCE|AAWC|Alexandria Advantage Warranty Company Common Stock|De Minimis Firms|61736|4|2019-06-03
OTCE|ABAHF|Abacus Health Products Inc Common Shares (Canada)|De Minimis Firms|9160|48|2019-06-03
OTCE|ABAKF|ABERDEEN ASIA-PACIFIC INCOME Ordinary Shares|De Minimis Firms|1200|3|2019-06-03
OTCE|ABBB|Auburn Bancorp, Inc. Common Stock|De Minimis Firms|231|4|2019-06-03
OTCE|ABBRF|Abraplata Resource Corp Ordinary Shares (Canada)|De Minimis Firms|8952|5|2019-06-03
OTCE|ABCAF|Athabasca Minerals Inc Common Shares (Canada)|De Minimis Firms|73591|20|2019-06-03
OTCE|ABCE|ABCO Energy, Inc Common Stock|De Minimis Firms|2283668|96|2019-06-03
OTCE|ABCFF|Abacus Mining & Exploration Corporation Common Shares|De Minimis Firms|33793|14|2019-06-03
OTCE|ABCP|AmBase Corporation Common Stock|De Minimis Firms|2721|5|2019-06-03
OTCE|ABCZF|Abcam PLC Ordinary Shares (United Kingdom)|De Minimis Firms|1103|21|2019-06-03
OTCE|ABCZY|Abcam PLC Unsponsored ADR (United Kingdom)|De Minimis Firms|4062|62|2019-06-03
OTCE|ABEPF|Vision Lithium Inc Ordinary Shares|De Minimis Firms|200|1|2019-06-03
OTCE|ABETF|Volt Energy Corp Common Shares|De Minimis Firms|1250|1|2019-06-03
OTCE|ABGSF|ABG Sundal Collier ASA Ordinary Shares (Norway)|De Minimis Firms|86|1|2019-06-03
OTCE|ABLZF|Abb Ltd Reg Ordinary Shares|De Minimis Firms|155000|5|2019-06-03
OTCE|ABMBF|Abcourt Mines Inc Cl-B (F) Ordinary Shares|De Minimis Firms|6750|3|2019-06-03
OTCE|ABMC|American Bio Medica Corp. Common Stock|De Minimis Firms|750|3|2019-06-03
OTCE|ABNAF|Aben Resources, Ltd. Ordinary Shares|De Minimis Firms|295380|61|2019-06-03
OTCE|ABNK|AltaPacific Bancorp Common Stock|De Minimis Firms|1598|14|2019-06-03
OTCE|ABNRY|Abn Amro Group NV American Depositary Shares - Unsponsored (Netherlands)|De Minimis Firms|197629|709|2019-06-03
OTCE|ABQQ|AB INTL GROUP CORP Common Stock|De Minimis Firms|10000|1|2019-06-03
OTCE|ABRTY|Abertis Infraestructuras S.A. Unsponsored ADR (Spain)|De Minimis Firms|284|1|2019-06-03
OTCE|ABSOF|ABS-CBN  Holdings Corporation Phillipine Depositary Receipts Representing 1 Share (Phillipines)|De Minimis Firms|48095|2|2019-06-03
OTCE|ABSSF|Airboss Of America Corp New Ordinary Shares|De Minimis Firms|608|3|2019-06-03
OTCE|ABTO|AB&T Financial Corporation (NC) Common Stock|De Minimis Firms|3000|2|2019-06-03
OTCE|ABVG|Affinity Beverage Group, Inc. Common Stock|De Minimis Firms|2309128|5|2019-06-03
OTCE|ABVN|ABV CONSULTING INC Common Stock|De Minimis Firms|500|1|2019-06-03
OTCE|ABWN|Airborne Wireless Network Common Stock|De Minimis Firms|17732978|27|2019-06-03
OTCE|ABZPF|Aboitiz Power Corp. Ordinary Shares (Phillippines)|De Minimis Firms|1100|1|2019-06-03
OTCE|ABZT|Ablaze Technologies, Inc. Common Stock|De Minimis Firms|500|1|2019-06-03
OTCE|ACAN|Americann, Inc. Common Stock|De Minimis Firms|393997|730|2019-06-03
OTCE|ACAZF|Acadian Timber Corporation Ordinary Shares (Canada)|De Minimis Firms|5044|30|2019-06-03
